,이름,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,BABIP,RE24,WPA,타순,이닝,상황,스코어,wpa
0,이정후,2019,키움,21,LF,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,0.336,0.386,0.456,0.842,0.386,135.4,4.92,0.352,19.72,1.39,1,2,무사 1루,2:00,-0.012
0,서건창,2019,키움,30,2B,113,486,426,67,128,23,3,2,163,41,17,3,49,3,1,50,5,3,5,0.3,0.373,0.383,0.755,0.352,112.9,2.36,0.333,4.27,0.1,1,8,무사 1루,6:04,-0.007
1,서건창,2019,키움,30,2B,113,486,426,67,128,23,3,2,163,41,17,3,49,3,1,50,5,3,5,0.3,0.373,0.383,0.755,0.352,112.9,2.36,0.333,4.27,0.1,1,3,무사 1루,0:00,-0.019
2,서건창,2019,키움,30,2B,113,486,426,67,128,23,3,2,163,41,17,3,49,3,1,50,5,3,5,0.3,0.373,0.383,0.755,0.352,112.9,2.36,0.333,4.27,0.1,1,6,무사 1루,0:01,-0.029
0,박동원,2019,키움,29,C,112,361,317,50,94,15,1,10,141,55,1,0,34,2,0,56,10,7,1,0.297,0.367,0.445,0.812,0.367,125.5,2.94,0.333,10.96,1.37,8,6,무사 1루,5:08,-0.026
1,박동원,2019,키움,29,C,112,361,317,50,94,15,1,10,141,55,1,0,34,2,0,56,10,7,1,0.297,0.367,0.445,0.812,0.367,125.5,2.94,0.333,10.96,1.37,6,8,무사 1루,3:03,-0.019
0,김혜성,2019,키움,20,2B,122,387,348,57,96,17,6,0,125,32,20,3,29,2,1,85,4,4,4,0.276,0.332,0.359,0.691,0.319,88.5,1.93,0.36,-6.54,0.25,9,7,무사 1루,1:03,-0.006
0,송광민,2019,한화,36,3B,122,486,454,50,119,21,0,7,161,51,8,2,21,3,0,91,18,3,5,0.262,0.296,0.355,0.651,0.3,79.8,1.04,0.31,-21.43,-1.6,6,9,무사 1루,5:02,-0.002
0,정근우,2019,한화,37,CF,88,305,277,37,77,10,1,3,98,30,8,5,20,4,1,43,11,3,1,0.278,0.334,0.354,0.688,0.32,94.3,0.76,0.319,-6.46,-0.5,2,1,무사 1루,0:00,-0.013
1,정근우,2019,한화,37,CF,88,305,277,37,77,10,1,3,98,30,8,5,20,4,1,43,11,3,1,0.278,0.334,0.354,0.688,0.32,94.3,0.76,0.319,-6.46,-0.5,1,6,무사 1루,0:05,-0.001
2,정근우,2019,한화,37,CF,88,305,277,37,77,10,1,3,98,30,8,5,20,4,1,43,11,3,1,0.278,0.334,0.354,0.688,0.32,94.3,0.76,0.319,-6.46,-0.5,1,2,무사 1루,3:04,-0.014
0,하주석,2019,한화,25,SS,5,20,19,3,5,2,0,0,7,2,0,0,0,0,0,4,1,1,0,0.263,0.263,0.368,0.632,0.273,60.5,0.04,0.333,-0.23,-0.51,6,8,무사 1루,2:03,-0.041
0,정은원,2019,한화,19,2B,142,624,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,0.262,0.317,0.374,0.691,0.317,91.9,2.08,0.304,-6.07,0.05,2,6,무사 1루,0:05,-0.013
1,정은원,2019,한화,19,2B,142,624,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,0.262,0.317,0.374,0.691,0.317,91.9,2.08,0.304,-6.07,0.05,1,8,무사 1루,1:02,-0.041
2,정은원,2019,한화,19,2B,142,624,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,0.262,0.317,0.374,0.691,0.317,91.9,2.08,0.304,-6.07,0.05,1,9,무사 1루,6:05,-0.054
