팀,이름,도루,도실,도실%,도루기회,도루시도%,연도
NC,김태군,60,34,36.2,1491,6.3,16
NC,용덕한,14,8,36.4,538,4.1,16
NC,박광열,0,1,100,58,1.7,16
NC,박세웅,0,0,없음,4,0,16
,,,,,,,
NC,김태군,52,35,40.2,1450,6,17
NC,박대온,7,5,41.7,345,3.5,17
NC,김종민,3,1,25,105,3.8,17
NC,신진호,1,1,50,71,2.8,17
,,,,,,,
NC,정범모,40,22,35.5,1006,6.2,18
NC,김형준,17,9,34.6,463,5.6,18
NC,윤여운,16,8,33.3,375,6.4,18
NC,박대온,6,4,40,158,6.3,18
,,,,,,,
NC,양의지,38,21,35.6,1173,5,19
NC,김형준,17,13,43.3,449,6.7,19
NC,정범모,7,5,41.7,166,7.2,19
NC,김태군,1,5,83.3,103,5.8,19
,,,,,,,
NC,양의지,33,30,47.6,1215,5.2,20
NC,김태군,16,8,33.3,529,4.5,20
NC,김형준,2,4,66.7,279,2.2,20
NC,윤수강,0,0,없음,7,0,20
,,,,,,,
,,,,,,,
키움,허도환,71,20,22,973,9.4,14
키움,박동원,36,21,36.8,766,7.4,14
키움,임태준,3,0,0,95,3.2,14
,,,,,,,
키움,박동원,78,42,35,1633,7.4,15
키움,김재현,21,7,25,379,7.4,15
키움,유선정,15,3,16.7,134,13.4,15
,,,,,,,
키움,박동원,50,25,33.3,897,8.4,19
키움,이지영,40,20,33.3,939,6.4,19
키움,주효상,5,1,16.7,100,6,19
,,,,,,,
키움,박동원,45,18,28.6,1015,6.2,20
키움,이지영,29,12,29.3,705,5.8,20
키움,주효상,14,9,39.1,294,7.8,20
,,,,,,,
SK,정상호,64,31,32.6,996,9.5,14
SK,조인성,4,0,0,99,4,14
SK,허웅,1,1,50,41,4.9,14
,,,,,,,
,,,,,,,
SK,이재원,33,19,36.5,796,6.5,15
SK,정상호,64,31,32.6,1027,9.3,15
SK,김민식,1,0,0,43,2.3,15
SK,허웅,2,0,0,81,2.5,15
,,,,,,,
SK,이재원,81,45,35.7,1512,8.3,16
SK,김민식,29,19,39.6,644,7.5,16
SK,이현석,1,0,0,18,5.6,16
SK,,,,,,,
SK,이재원,57,17,23,1209,6.1,17
SK,이성우,14,9,39.1,578,4,17
SK,이홍구,12,13,52,352,7.1,17
SK,김민식,0,0,,6,0,17
SK,,,,,,,
SK,이재원,74,27,26.7,1282,7.9,18
SK,이성우,20,11,35.5,553,5.6,18
SK,허도환,4,1,20,96,5.2,18
SK,,,,,,,
SK,이재원,87,24,21.6,1516,7.3,19
SK,허도환,21,7,25,331,8.5,19
SK,이현석,0,0,,22,0,19
SK,,,,,,,
